sc_name,genus,species,type,family
,Acacia,auriculiformis,,Leguminosae
,Acacia,crassicarpa,,Leguminosae
,Acacia,decurrens,,Leguminosae
,Acacia,koa,,Leguminosae
,Acacia,mangium,,Leguminosae
,Acacia,mearnsii,,Leguminosae
,Acacia,melanoxylon,,Leguminosae
,Acacia,nilotica,,Leguminosae
,Acacia,pubescens,,Leguminosae
,Acer,campestre,,Sapindaceae
,Acer,macrophyllum,,Sapindaceae
,Acer,negundo,,Sapindaceae
,Acer,palmatum,,Sapindaceae
,Acer,pensylvanicum,,Sapindaceae
,Acer,pictum,,Sapindaceae
,Acer,platanus,,Sapindaceae
,Acer,pseudoplatanus,,Sapindaceae
,Acer,rubrum,,Sapindaceae
,Acer,saccharinum,,Sapindaceae
,Acer,saccharum,,Sapindaceae
,Acer,saccharum,,Sapindaceae
,Acer,nigrum,,Sapindaceae
,Acosmium,panamense,,Leguminosae
,Acrocarpus,fraxinifolius,,Leguminosae
,Adenanthera,pavonina,,Leguminosae
,Aesculus,flava,,Sapindaceae
,Aesculus,glabra,,Sapindaceae
,Aesculus,hippocastanum,,Sapindaceae
,Aesculus,turbinata,,Sapindaceae
,Afzelia,africana,,Leguminosae
,Afzelia,bella,,Leguminosae
,Afzelia,bipindensis,,Leguminosae
,Afzelia,pachyloba,,Leguminosae
,Afzelia,quanzensis,,Leguminosae
,Afzelia,rhomboidea,,Leguminosae
,Afzelia,xylocarpa,,Leguminosae
,Aglaia,cucullata,,Meliaceae
,Aglaia,spectabilis,,Meliaceae
,Ailanthus,altissima,,Simaroubaceae
,Ailanthus,triphysa,,Simaroubaceae
,Alangium,meyeri,,Cornaceae
,Albizia,adianthifolia,,Leguminosae
,Albizia,antunesiana,,Leguminosae
,Albizia,ferruginea,,Leguminosae
,Albizia,guachapele,,Leguminosae
,Albizia,gummifera,,Leguminosae
,Albizia,lebbeck,,Leguminosae
,Albizia,lebbekoides,,Leguminosae
,Albizia,pedicellaris,,Leguminosae
,Albizia,procera,,Leguminosae
,Albizia,saman,,Leguminosae
,Albizia,versicolor,,Leguminosae
,Albizia,zygia,,Leguminosae
,Alchornea,triplinervia,,Euphorbiaceae
,Aleurites,moluccanus,,Euphorbiaceae
,Alexa,grandiflora,,Leguminosae
,Alexa,imperatricis,,Leguminosae
,Alexa,wachenheimii,,Leguminosae
,Allantoma,integrifolia,,Lecythidaceae
,Allantoma,pluriflora,,Lecythidaceae
,Allophylus,cobbe,,Sapindaceae
,Alnus,glutinosa,,Betulaceae
,Alnus,incana,,Betulaceae
,Alnus,nepalensis,,Betulaceae
,Alnus,rubra,,Betulaceae
,Alphitonia,philippinensis,,Rhamnaceae
,Alphitonia,zizyphoides,,Rhamnaceae
,Alseodaphne,archboldiana,,Lauraceae
,Alseodaphne,malabonga,,Lauraceae
,Alstonia,actinophylla,,Apocynaceae
,Alstonia,angustifolia,,Apocynaceae
,Alstonia,angustiloba,,Apocynaceae
,Alstonia,boonei,,Apocynaceae
,Alstonia,congensis,,Apocynaceae
,Alstonia,macrophylla,,Apocynaceae
,Alstonia,scholaris,,Apocynaceae
,Alstonia,spatulata,,Apocynaceae
,Altingia,excelsa,,Altingiaceae
,Amblygonocarpus,andongensis,,Leguminosae
,Amburana,cearensis,,Leguminosae
,Amphimas,ferrugineus,,Leguminosae
,Amphimas,pterocarpoides,,Leguminosae
,Anacardium,excelsum,,Anacardiaceae
,Anacardium,giganteum,,Anacardiaceae
,Anacardium,occidentale,,Anacardiaceae
,Anacardium,spruceanum,,Anacardiaceae
,Andira,coriacea,,Leguminosae
,Andira,inermis,,Leguminosae
,Androstachys,johnsonii,,Picrodendraceae
,Aniba,canellila,,Lauraceae
,Aniba,parviflora,,Lauraceae
,Aniba,rosaeodora,,Lauraceae
,Anisoptera,costata,,Dipterocarpaceae
,Anisoptera,curtisii,,Dipterocarpaceae
,Anisoptera,laevis,,Dipterocarpaceae
,Anisoptera,marginata,,Dipterocarpaceae
,Anisoptera,scaphula,,Dipterocarpaceae
,Anisoptera,thurifera,,Dipterocarpaceae
,Annickia,chlorantha,,Annonaceae
,Anogeissus,acuminata,,Combretaceae
,Anogeissus,latifolia,,Combretaceae
,Anonidium,mannii,,Annonaceae
,Anopyxis,klaineana,,Rhizophoraceae
,Antiaris,toxicaria,,Moraceae
,Antiaris,welwitschii,,Moraceae
,Antiaris,toxicaria,,Moraceae
,Antiaris,toxicaria,,Moraceae
,Antiaris,toxicaria,,Moraceae
,Antrocaryon,klaineanum,,Anacardiaceae
,Antrocaryon,micraster,,Anacardiaceae
,Apeiba,glabra,,Malvaceae
,Aphananthe,philippinensis,,Cannabaceae
,Aphanocalyx,heitzii,,Leguminosae
,Apuleia,leiocarpa,,Leguminosae
,Aquilaria,malaccensis,,Thymelaeaceae
,Arbutus,menziesii,,Ericaceae
,Arbutus,unedo,,Ericaceae
,Archidendropsis,xanthoxylon,,Leguminosae
,Artocarpus,altilis,,Moraceae
,Artocarpus,chama,,Moraceae
,Artocarpus,elasticus,,Moraceae
,Artocarpus,hirsutus,,Moraceae
,Artocarpus,integer,,Moraceae
,Artocarpus,lanceifolius,,Moraceae
,Artocarpus,ovatus,,Moraceae
,Artocarpus,rigidus,,Moraceae
,Artocarpus,scortechinii,,Moraceae
,Aspidosperma,album,,Apocynaceae
,Aspidosperma,desmanthum,,Apocynaceae
,Aspidosperma,megalocarpon,,Apocynaceae
,Aspidosperma,polyneuron,,Apocynaceae
,Aspidosperma,quebracho-blanco,,Apocynaceae
,Aspidosperma,tomentosum,,Apocynaceae
,Aspidosperma,vargasii,,Apocynaceae
,Aspidostemon,perrieri,,Lauraceae
